Paul Skenes
Shohei Ohtani
Aaron Nola
Cristopher Sánchez
Cam Schlittler
Tarik Skubal
Dylan Cease
Yoshinobu Yamamoto
Jacob Misiorowski
Sandy Alcantara
Kevin Gausman
Zack Wheeler
Max Fried
Jesús Luzardo
Andrew Painter
Justin Wrobleski
Gerrit Cole
Spencer Strider
Ranger Suarez
José Suarez
